CMG,"Chipotle Mexican Grill",797,17.14,+2.20%,797.21,794,5075,"09:33 ET"
CMI,"Cummins Inc",174.74,-0.22,-0.13%,175.47,173.14,855200,07/29/19
CMS,"Cms Energy Corp",58.88,0.19,+0.32%,58.89,58.08,1926000,07/29/19
CNC,"Centene Corp",53.5,0.079999999999998,+0.15%,53.8,53.68,1050,"09:32 ET"
CNP,"Centerpoint Energy Inc",28.79,-0.010000000000002,-0.03%,28.84,28.63,2340800,07/29/19
COF,"Capital One Financial Corp",97.99,-0.090000000000003,-0.09%,98.05,95.59,3221200,07/29/19
COG,"Cabot Oil & Gas Corp",19.21,0.050000000000001,+0.26%,19.36,19.28,10460,"09:34 ET"
COO,"Cooper Companies",337.23,-0.75,-0.22%,337.23,335.85,165800,07/26/19
COP,Conocophillips,58.58,-0.17,-0.29%,58.83,59.45,797,"09:34 ET"
COST,"Costco Wholesale",280.79,-0.57999999999998,-0.21%,281.51,282,568,"09:34 ET"
COTY,"Coty Inc",11.15,0.050000000000001,+0.45%,11.16,10.89,2896400,07/29/19
CPB,"Campbell Soup Company",41.01,0.049999999999997,+0.12%,41.01,41,558,"08:49 ET"
CPRI,"Capri Holdings Ltd",36.08,-0.45,-1.23%,36.65,35.67,1610700,07/26/19
CPRT,"Copart Inc",79.35,-0.080000000000013,-0.10%,79.35,78.91,1109600,07/26/19
CRM,"Salesforce.com Inc",160.54,0.56999999999999,+0.36%,161.18,160.21,11009,"09:34 ET"
CSCO,"Cisco Systems Inc",56.74,0.21,+0.37%,56.79,56.77,8329,"09:34 ET"
CSX,"CSX Corp",69.3,0.34,+0.49%,69.32,68.84,5806400,07/29/19
CTAS,"Cintas Corp",260.99,-0.69999999999999,-0.27%,262.8,258.51,777100,07/29/19
CTL,Centurylink,11.77,0.02,+0.17%,11.8,11.77,265,"09:33 ET"
CTSH,"Cognizant Tech Sol",66.41,0.0099999999999909,+0.02%,66.43,66.45,150,"09:34 ET"
CTXS,"Citrix Systems Inc",95.41,-0.18000000000001,-0.19%,95.8,94.77,3051300,07/29/19
CVS,"CVS Corp",55.74,0.2,+0.36%,55.76,55.7,1623,"09:33 ET"
CVX,"Chevron Corp",123.62,-0.099999999999994,-0.08%,123.8,123.6,474,"09:34 ET"
CXO,"Concho Resources Inc",96.82,-0.31,-0.32%,97.16,96.4,1326600,07/29/19
D,"Dominion Resources",75.23,0.079999999999998,+0.11%,75.42,75.15,313,"09:33 ET"
